1 	11.316 	129 	110 	11.316 	
2 	9.762 	129 	113 	10.539 	
3 	9.685 	130 	109 	10.254 	
4 	11.242 	131 	110 	10.501 	
5 	11.990 	131 	117 	10.799 	
6 	13.454 	134 	119 	11.241 	
7 	11.622 	137 	131 	11.296 	
8 	13.012 	137 	118 	11.510 	
9 	13.609 	138 	118 	11.743 	
10 	14.908 	138 	138 	12.060 	
11 	12.733 	141 	121 	12.121 	
12 	15.206 	144 	121 	12.378 	
13 	13.073 	144 	132 	12.432 	
14 	15.324 	146 	126 	12.638 	
15 	12.638 	145 	127 	12.638 	
16 	13.555 	148 	137 	12.695 	
17 	12.769 	150 	134 	12.700 	
18 	19.343 	149 	122 	13.069 	
19 	15.446 	151 	118 	13.194 	
20 	13.669 	151 	136 	13.218 	
21 	19.567 	154 	144 	13.520 	
22 	20.708 	154 	142 	13.847 	
23 	15.302 	155 	136 	13.910 	
24 	16.342 	157 	142 	14.011 	
25 	13.429 	156 	141 	13.988 	
26 	15.848 	159 	136 	14.060 	
27 	12.645 	159 	140 	14.007 	
28 	13.061 	155 	141 	13.974 	
29 	16.274 	156 	154 	14.053 	
30 	18.124 	155 	155 	14.189 	
31 	17.469 	155 	153 	14.294 	
32 	16.476 	158 	143 	14.363 	
33 	15.298 	161 	154 	14.391 	
34 	12.123 	158 	143 	14.324 	
35 	18.433 	161 	158 	14.442 	
36 	13.892 	162 	144 	14.426 	
37 	15.954 	162 	139 	14.468 	
38 	14.835 	162 	131 	14.477 	
39 	14.294 	164 	134 	14.473 	
40 	15.206 	164 	135 	14.491 	
41 	12.793 	167 	143 	14.449 	
42 	19.187 	165 	144 	14.562 	
43 	15.729 	167 	150 	14.589 	
44 	13.931 	167 	135 	14.574 	
45 	11.546 	169 	141 	14.507 	
46 	12.341 	169 	144 	14.460 	
47 	14.339 	167 	141 	14.457 	
48 	17.977 	169 	144 	14.531 	
49 	17.192 	170 	144 	14.585 	
50 	17.874 	173 	144 	14.651 	
51 	14.490 	173 	138 	14.648 	
52 	17.464 	173 	142 	14.702 	
53 	12.118 	173 	168 	14.653 	
54 	11.487 	175 	148 	14.594 	
55 	15.825 	173 	151 	14.617 	
56 	12.543 	173 	144 	14.580 	
57 	14.715 	176 	144 	14.582 	
58 	12.859 	173 	138 	14.552 	
59 	12.824 	174 	143 	14.523 	
60 	14.525 	176 	145 	14.523 	
61 	12.656 	174 	141 	14.493 	
62 	13.829 	176 	173 	14.482 	
63 	11.998 	177 	140 	14.442 	
64 	13.630 	177 	141 	14.430 	
65 	14.351 	177 	157 	14.429 	
66 	19.457 	167 	142 	14.505 	
67 	13.668 	165 	143 	14.492 	
68 	18.586 	168 	151 	14.552 	
69 	17.238 	169 	146 	14.591 	
70 	11.156 	172 	158 	14.542 	
71 	15.133 	171 	161 	14.551 	
72 	13.565 	172 	154 	14.537 	
73 	14.296 	174 	151 	14.534 	
74 	12.505 	175 	151 	14.506 	
75 	15.322 	178 	156 	14.517 	
76 	13.914 	178 	146 	14.509 	
77 	13.413 	181 	155 	14.495 	
78 	14.074 	181 	172 	14.490 	
79 	19.695 	178 	153 	14.555 	
80 	16.923 	181 	162 	14.585 	
81 	15.635 	178 	174 	14.598 	
82 	13.898 	180 	157 	14.589 	
83 	13.386 	181 	155 	14.575 	
84 	13.121 	180 	163 	14.558 	
85 	14.451 	183 	171 	14.556 	
86 	19.000 	177 	162 	14.608 	
87 	18.750 	177 	169 	14.656 	
88 	12.294 	180 	163 	14.629 	
89 	12.883 	180 	162 	14.609 	
90 	12.538 	183 	154 	14.586 	
91 	14.795 	183 	166 	14.589 	
92 	14.246 	182 	166 	14.585 	
93 	13.502 	185 	166 	14.573 	
94 	13.680 	183 	167 	14.564 	
95 	16.017 	183 	172 	14.579 	
96 	11.299 	181 	165 	14.545 	
97 	12.652 	182 	176 	14.525 	
98 	13.321 	181 	167 	14.513 	
99 	11.445 	184 	159 	14.482 	
100 	13.548 	187 	158 	14.473 	
101 	12.999 	182 	169 	14.458 	
102 	12.112 	183 	167 	14.435 	
103 	12.518 	183 	170 	14.416 	
104 	13.257 	186 	176 	14.405 	
105 	12.668 	186 	176 	14.389 	
106 	13.482 	186 	175 	14.380 	
107 	11.262 	188 	170 	14.351 	
108 	11.297 	184 	171 	14.323 	
109 	16.204 	187 	181 	14.340 	
110 	21.812 	187 	182 	14.408 	
111 	13.512 	189 	158 	14.400 	
112 	16.221 	190 	179 	14.416 	
113 	17.117 	190 	185 	14.440 	
114 	12.372 	190 	180 	14.422 	
115 	13.644 	192 	182 	14.415 	
116 	16.311 	192 	184 	14.431 	
117 	12.968 	195 	190 	14.419 	
118 	11.911 	195 	180 	14.398 	
